date,code,label,close,source,fetched_at
1986-02-28,0001,KOSPI,175.91,kis_api,2026-08-17T02:03:27+00:00
1986-03-31,0001,KOSPI,199.76,kis_api,2026-08-17T02:03:27+00:00
1986-04-30,0001,KOSPI,202.91,kis_api,2026-08-17T02:03:27+00:00
1986-05-31,0001,KOSPI,231.06,kis_api,2026-08-17T02:03:27+00:00
1986-06-30,0001,KOSPI,243.36,kis_api,2026-08-17T02:03:27+00:00
1986-07-31,0001,KOSPI,273.75,kis_api,2026-08-17T02:03:27+00:00
1986-08-30,0001,KOSPI,264.64,kis_api,2026-08-17T02:03:27+00:00
1986-09-30,0001,KOSPI,253.45,kis_api,2026-08-17T02:03:27+00:00
1986-10-31,0001,KOSPI,240.79,kis_api,2026-08-17T02:03:27+00:00
1986-11-29,0001,KOSPI,268.98,kis_api,2026-08-17T02:03:27+00:00
1986-12-26,0001,KOSPI,272.61,kis_api,2026-08-17T02:03:27+00:00
1987-01-31,0001,KOSPI,310.22,kis_api,2026-08-17T02:03:27+00:00
1987-02-28,0001,KOSPI,334.98,kis_api,2026-08-17T02:03:27+00:00
1987-03-31,0001,KOSPI,405.13,kis_api,2026-08-17T02:03:27+00:00
1987-04-30,0001,KOSPI,358.63,kis_api,2026-08-17T02:03:27+00:00
1987-05-30,0001,KOSPI,387.99,kis_api,2026-08-17T02:03:27+00:00
1987-06-30,0001,KOSPI,411.76,kis_api,2026-08-17T02:03:27+00:00
1987-07-31,0001,KOSPI,485.48,kis_api,2026-08-17T02:03:27+00:00
1987-08-31,0001,KOSPI,474.01,kis_api,2026-08-17T02:03:27+00:00
1987-09-30,0001,KOSPI,485.35,kis_api,2026-08-17T02:03:27+00:00
1987-10-31,0001,KOSPI,509.05,kis_api,2026-08-17T02:03:27+00:00
1987-11-30,0001,KOSPI,475.59,kis_api,2026-08-17T02:03:27+00:00
1987-12-26,0001,KOSPI,525.11,kis_api,2026-08-17T02:03:27+00:00
1988-01-30,0001,KOSPI,633.58,kis_api,2026-08-17T02:03:27+00:00
1988-02-29,0001,KOSPI,612.35,kis_api,2026-08-17T02:03:27+00:00
1988-03-31,0001,KOSPI,656.47,kis_api,2026-08-17T02:03:27+00:00
1988-04-30,0001,KOSPI,647.18,kis_api,2026-08-17T02:03:27+00:00
1988-05-31,0001,KOSPI,717.35,kis_api,2026-08-17T02:03:27+00:00
1988-06-30,0001,KOSPI,702.83,kis_api,2026-08-17T02:03:27+00:00
1988-07-30,0001,KOSPI,721.08,kis_api,2026-08-17T02:03:27+00:00
1988-08-31,0001,KOSPI,664.25,kis_api,2026-08-17T02:03:27+00:00
1988-09-30,0001,KOSPI,677.54,kis_api,2026-08-17T02:03:27+00:00
1988-10-31,0001,KOSPI,729.79,kis_api,2026-08-17T02:03:27+00:00
1988-11-30,0001,KOSPI,831.12,kis_api,2026-08-17T02:03:27+00:00
1988-12-26,0001,KOSPI,907.2,kis_api,2026-08-17T02:03:27+00:00
1989-01-31,0001,KOSPI,884.29,kis_api,2026-08-17T02:03:27+00:00
1989-02-28,0001,KOSPI,917.9,kis_api,2026-08-17T02:03:27+00:00
1989-03-31,0001,KOSPI,1003.31,kis_api,2026-08-17T02:03:27+00:00
1989-04-29,0001,KOSPI,940.54,kis_api,2026-08-17T02:03:27+00:00
1989-05-31,0001,KOSPI,932.76,kis_api,2026-08-17T02:03:27+00:00
1989-06-30,0001,KOSPI,854.61,kis_api,2026-08-17T02:03:27+00:00
1989-07-31,0001,KOSPI,895.66,kis_api,2026-08-17T02:03:27+00:00
1989-08-31,0001,KOSPI,975.29,kis_api,2026-08-17T02:03:27+00:00
1989-09-30,0001,KOSPI,942.41,kis_api,2026-08-17T02:03:27+00:00
1989-10-31,0001,KOSPI,894.02,kis_api,2026-08-17T02:03:27+00:00
1989-11-30,0001,KOSPI,906.33,kis_api,2026-08-17T02:03:27+00:00
1989-12-26,0001,KOSPI,909.72,kis_api,2026-08-17T02:03:27+00:00
1990-01-31,0001,KOSPI,896.16,kis_api,2026-08-17T02:03:27+00:00
1990-02-28,0001,KOSPI,861.59,kis_api,2026-08-17T02:03:27+00:00
1990-03-31,0001,KOSPI,840.89,kis_api,2026-08-17T02:03:27+00:00
1990-04-30,0001,KOSPI,688.66,kis_api,2026-08-17T02:03:27+00:00
1990-05-31,0001,KOSPI,797.95,kis_api,2026-08-17T02:03:27+00:00
1990-06-30,0001,KOSPI,706.79,kis_api,2026-08-17T02:03:27+00:00
1990-07-31,0001,KOSPI,678.38,kis_api,2026-08-17T02:03:27+00:00
1990-08-31,0001,KOSPI,606.87,kis_api,2026-08-17T02:03:27+00:00
1990-09-29,0001,KOSPI,602.88,kis_api,2026-08-17T02:03:27+00:00
1990-10-31,0001,KOSPI,690.16,kis_api,2026-08-17T02:03:27+00:00
1990-11-30,0001,KOSPI,697.03,kis_api,2026-08-17T02:03:27+00:00
1990-12-26,0001,KOSPI,696.11,kis_api,2026-08-17T02:03:27+00:00
1991-01-31,0001,KOSPI,635.4,kis_api,2026-08-17T02:03:27+00:00
1991-02-28,0001,KOSPI,675.57,kis_api,2026-08-17T02:03:27+00:00
1991-03-30,0001,KOSPI,659.85,kis_api,2026-08-17T02:03:27+00:00
1991-04-30,0001,KOSPI,645.61,kis_api,2026-08-17T02:03:27+00:00
1991-05-31,0001,KOSPI,611.35,kis_api,2026-08-17T02:03:27+00:00
1991-06-29,0001,KOSPI,605.27,kis_api,2026-08-17T02:03:27+00:00
1991-07-31,0001,KOSPI,717.03,kis_api,2026-08-17T02:03:27+00:00
1991-08-31,0001,KOSPI,683.11,kis_api,2026-08-17T02:03:27+00:00
1991-09-30,0001,KOSPI,705.07,kis_api,2026-08-17T02:03:27+00:00
1991-10-31,0001,KOSPI,695.94,kis_api,2026-08-17T02:03:27+00:00
1991-11-30,0001,KOSPI,652.11,kis_api,2026-08-17T02:03:27+00:00
1991-12-26,0001,KOSPI,610.92,kis_api,2026-08-17T02:03:27+00:00
1992-01-31,0001,KOSPI,680.51,kis_api,2026-08-17T02:03:27+00:00
1992-02-29,0001,KOSPI,612.5,kis_api,2026-08-17T02:03:27+00:00
1992-03-31,0001,KOSPI,606.32,kis_api,2026-08-17T02:03:27+00:00
1992-04-30,0001,KOSPI,615.97,kis_api,2026-08-17T02:03:27+00:00
1992-05-30,0001,KOSPI,574.2,kis_api,2026-08-17T02:03:27+00:00
1992-06-30,0001,KOSPI,552.03,kis_api,2026-08-17T02:03:27+00:00
1992-07-31,0001,KOSPI,509.95,kis_api,2026-08-17T02:03:27+00:00
1992-08-31,0001,KOSPI,562.8,kis_api,2026-08-17T02:03:27+00:00
1992-09-30,0001,KOSPI,513.82,kis_api,2026-08-17T02:03:27+00:00
1992-10-31,0001,KOSPI,615.58,kis_api,2026-08-17T02:03:27+00:00
1992-11-30,0001,KOSPI,663.36,kis_api,2026-08-17T02:03:27+00:00
1992-12-28,0001,KOSPI,678.44,kis_api,2026-08-17T02:03:27+00:00
1993-01-30,0001,KOSPI,670.56,kis_api,2026-08-17T02:03:27+00:00
1993-02-27,0001,KOSPI,642.96,kis_api,2026-08-17T02:03:27+00:00
