company,ticker,cik,fiscal_year,fiscal_period,form,end_date,filed_date,value_usd,tag,accn,source,fetched_at,note
Meta Platforms,META,1326801,2024,Q2,10-Q,2024-06-30,2024-08-01,14573000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-24-000069,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Meta Platforms,META,1326801,2024,Q3,10-Q,2024-09-30,2024-10-31,22831000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-24-000081,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Meta Platforms,META,1326801,2025,Q1,10-Q,2025-03-31,2025-05-01,12941000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-25-000054,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Meta Platforms,META,1326801,2025,Q2,10-Q,2025-06-30,2025-07-31,29479000000,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-25-036791,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Meta Platforms,META,1326801,2025,Q3,10-Q,2025-09-30,2025-10-30,48308000000,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-25-047240,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Meta Platforms,META,1326801,2026,Q1,10-Q,2026-03-31,2026-04-30,18997000000,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-26-028526,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Meta Platforms,META,1326801,2026,Q2,10-Q,2026-06-30,2026-07-30,49113000000,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-26-050705,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Microsoft,MSFT,789019,2024,Q2,10-Q,2023-12-31,2024-01-30,19652000000,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-24-008814,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $9,735,000,000(filed 2024-01-30), $19,652,000,000(filed 2025-01-29), $9,735,000,000(filed 2025-01-29)"
Microsoft,MSFT,789019,2024,Q3,10-Q,2024-03-31,2024-04-25,30604000000,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-24-048288,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $10,952,000,000(filed 2024-04-25), $30,604,000,000(filed 2025-04-30), $10,952,000,000(filed 2025-04-30)"
Microsoft,MSFT,789019,2025,Q1,10-Q,2024-09-30,2024-10-30,14923000000,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-24-118967,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Microsoft,MSFT,789019,2025,Q2,10-Q,2024-12-31,2025-01-29,30727000000,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-25-010491,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $15,804,000,000(filed 2025-01-29), $30,727,000,000(filed 2026-01-28), $15,804,000,000(filed 2026-01-28)"
Microsoft,MSFT,789019,2025,Q3,10-Q,2025-03-31,2025-04-30,47472000000,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-25-061046,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $16,745,000,000(filed 2025-04-30), $47,472,000,000(filed 2026-04-29), $16,745,000,000(filed 2026-04-29)"
Microsoft,MSFT,789019,2026,Q1,10-Q,2025-09-30,2025-10-29,19394000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-25-256321,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Microsoft,MSFT,789019,2026,Q2,10-Q,2025-12-31,2026-01-28,49270000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-26-027207,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $29,876,000,000(filed 2026-01-28)"
Microsoft,MSFT,789019,2026,Q3,10-Q,2026-03-31,2026-04-29,80146000000,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-26-191507,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $30,876,000,000(filed 2026-04-29)"
